id,examenID,materiaID,fecha,hora,estado
166,1,30,2020-08-07,19:00,
167,1,36,2020-08-04,19:00,
168,1,39,2020-07-29,19:00,
169,1,43,2020-07-31,19:00,
170,1,45,2020-08-03,19:00,
171,1,46,2020-07-28,19:00,
172,1,47,2020-07-30,19:00,
173,1,48,2020-07-27,19:00,
174,1,51,,,
175,1,29,2020-07-31,19:00,
176,1,31,2020-07-29,19:00,
177,1,34,2020-07-27,19:00,
178,1,37,2020-07-30,19:00,
179,1,38,2020-08-03,19:00,
180,1,41,2020-08-04,19:00,
181,1,44,2020-07-28,19:00,
182,1,49,2020-08-05,19:00,
183,1,52,,,
184,1,32,2020-08-06,19:00,
185,1,33,2020-08-05,19:00,
186,1,35,2020-07-29,19:00,
187,1,40,2020-08-03,19:00,
188,1,42,2020-07-28,19:00,
189,1,50,2020-07-31,19:00,
190,1,53,,,
191,1,54,2020-07-27,19:00,
192,1,55,2020-07-30,19:00,
193,1,56,0001-01-01,,
194,2,5,2020-07-27,19:00,
195,2,9,2020-07-29,19:00,
196,2,10,2020-08-03,19:00,
197,2,11,2020-08-06,19:00,
198,2,15,2020-07-30,19:00,
199,2,17,2020-07-31,19:00,
200,2,19,0001-01-01,,
201,2,24,2020-08-04,19:00,
202,2,28,2020-07-28,19:00,
203,2,3,2020-07-29,19:00,
204,2,6,2020-07-28,19:00,
205,2,8,2020-08-06,19:00,
206,2,13,2020-08-03,19:00,
207,2,18,2020-07-27,19:00,
208,2,20,0001-01-01,,
209,2,22,2020-07-30,19:00,
210,2,23,2020-08-04,19:00,
211,2,25,2020-07-31,19:00,
212,2,2,2020-08-06,19:00,
213,2,4,2020-08-03,19:00,
214,2,7,2020-07-27,19:00,
215,2,12,2020-07-31,19:00,
216,2,14,2020-08-04,19:00,
217,2,16,2020-07-28,19:00,
218,2,21,0001-01-01,,
219,2,26,2020-08-05,19:00,
220,2,27,2020-07-30,19:00,
385,8,30,2020-08-28,19:00,
386,8,36,2020-08-25,19:00,
387,8,39,2020-08-19,19:00,
388,8,43,2020-08-21,19:00,
389,8,45,2020-08-24,19:00,
390,8,46,2020-08-18,19:00,
391,8,47,2020-08-20,19:00,
392,8,48,2020-08-31,19:00,
393,8,51,,,
394,8,29,2020-08-21,19:00,
395,8,31,2020-08-28,19:00,
396,8,34,2020-08-31,19:00,
397,8,37,2020-08-27,19:00,
398,8,38,2020-08-24,19:00,
399,8,41,2020-08-25,19:00,
400,8,44,2020-08-18,19:00,
401,8,49,2020-08-26,19:00,
402,8,52,,,
403,8,32,2020-08-27,19:00,
404,8,33,2020-08-26,19:00,
405,8,35,2020-08-19,19:00,
406,8,40,2020-08-24,19:00,
407,8,42,2020-08-18,19:00,
408,8,50,2020-08-21,19:00,
409,8,53,,,
410,8,54,,,
411,8,55,2020-08-20,19:00,
412,8,56,2020-08-31,19:00,
440,7,5,2020-08-31,19:00,
441,7,9,2020-08-19,19:00,
442,7,10,2020-08-24,19:00,
443,7,11,2020-08-27,19:00,
444,7,15,2020-08-20,19:00,
445,7,17,2020-08-21,19:00,
446,7,19,,,
447,7,24,2020-08-25,19:00,
448,7,28,2020-08-18,19:00,
449,7,3,2020-08-19,19:00,
450,7,6,2020-08-18,19:00,
451,7,8,2020-08-27,19:00,
452,7,13,2020-08-24,19:00,
453,7,18,2020-08-31,19:00,
454,7,20,,,
455,7,22,2020-08-20,19:00,
456,7,23,2020-08-25,19:00,
457,7,25,2020-08-21,19:00,
458,7,2,2020-08-27,19:00,
459,7,4,2020-08-24,19:00,
460,7,7,2020-08-31,19:00,
461,7,12,2020-08-21,19:00,
462,7,14,2020-08-25,19:00,
463,7,16,2020-08-18,19:00,
464,7,21,,,
465,7,26,2020-08-26,19:00,
466,7,27,2020-08-20,19:00,
494,10,30,2020-11-25,19:00,
495,10,36,2020-11-26,19:00,
496,10,39,2020-12-02,19:00,
497,10,43,2020-11-27,19:00,
498,10,45,2020-12-04,19:00,
499,10,46,2020-11-24,19:00,
500,10,47,2020-12-03,19:00,
501,10,48,2020-11-30,19:00,
502,10,51,,,
503,10,29,2020-11-27,19:00,
504,10,31,2020-11-25,19:00,
505,10,34,2020-11-30,19:00,
506,10,37,2020-11-26,19:00,
507,10,38,2020-12-04,19:00,
508,10,41,2020-12-03,19:00,
509,10,44,2020-11-24,19:00,
510,10,49,2020-12-02,19:00,
511,10,52,,,
512,10,32,2020-12-03,19:00,
513,10,33,2020-11-25,19:00,
514,10,35,2020-12-02,19:00,
515,10,40,2020-11-30,19:00,
516,10,42,2020-12-01,19:00,
517,10,50,2020-11-27,19:00,
518,10,53,,,
519,10,54,,,
520,10,55,2020-11-26,19:00,
521,10,56,2020-12-04,19:00,
522,9,5,2020-11-30,19:00,
523,9,9,2020-11-25,19:00,
524,9,10,2020-12-04,19:00,
525,9,11,2020-12-03,19:00,
526,9,15,2020-11-26,19:00,
527,9,17,2020-11-27,19:00,
528,9,19,,,
529,9,24,2020-12-01,19:00,
530,9,28,2020-12-02,19:00,
531,9,3,2020-11-25,19:00,
532,9,6,2020-11-24,19:00,
533,9,8,2020-12-03,19:00,
534,9,13,2020-12-02,19:00,
535,9,18,2020-11-30,19:00,
536,9,20,,,
537,9,22,2020-11-26,19:00,
538,9,23,2020-12-01,19:00,
539,9,25,2020-11-27,19:00,
540,9,2,2020-12-03,19:00,
541,9,4,2020-12-04,19:00,
542,9,7,2020-11-30,19:00,
543,9,12,2020-11-27,19:00,
544,9,14,2020-12-01,19:00,
545,9,16,2020-11-24,19:00,
546,9,21,,00:00,
547,9,26,2020-11-25,19:00,
548,9,27,2020-11-26,19:00,
1619,12,30,2023-11-21,19:00,activo
1620,12,36,2023-11-16,19:00,activo
1621,12,39,2023-11-27,19:00,activo
1622,12,43,2023-11-17,19:00,activo
1623,12,45,2023-11-23,19:00,activo
1624,12,46,2023-11-29,19:00,activo
1625,12,47,2023-11-22,19:00,activo
1626,12,48,2023-11-28,19:00,activo
1627,12,51,,,activo
1628,12,29,2023-11-17,19:00,activo
1629,12,31,2023-11-22,19:00,activo
1630,12,34,2023-11-27,19:00,activo
1631,12,37,2023-11-16,19:00,activo
1632,12,38,2023-11-23,19:00,activo
1633,12,41,2023-11-28,19:00,activo
1634,12,44,2023-11-21,19:00,activo
1635,12,49,2023-11-29,19:00,activo
1636,12,52,,,activo
1637,12,32,2023-11-28,19:00,activo
1638,12,33,2023-11-29,19:00,activo
1639,12,35,2023-11-22,19:00,activo
1640,12,40,2023-11-27,19:00,activo
1641,12,42,2023-11-16,19:00,activo
1642,12,50,2023-11-17,19:00,activo
1643,12,53,,,activo
1644,12,54,2023-11-23,19:00,activo
1645,12,55,2023-11-21,19:00,activo
1646,12,56,2023-11-23,19:00,activo
1647,11,5,2023-11-22,19:00,activo
1648,11,9,2023-11-27,19:00,activo
1649,11,10,2023-11-24,19:00,activo
1650,11,11,2023-11-23,19:00,activo
1651,11,15,2023-11-16,19:00,activo
1652,11,17,2023-11-17,19:00,activo
1653,11,19,,,activo
1654,11,24,2023-11-21,19:00,activo
1655,11,28,2023-11-28,19:00,activo
1656,11,3,2023-11-27,19:00,activo
1657,11,6,2023-11-21,19:00,activo
1658,11,8,2023-11-17,19:00,activo
1659,11,13,2023-11-22,19:00,activo
1660,11,18,2023-11-29,19:00,activo
1661,11,20,,,activo
1662,11,22,2023-11-16,19:00,activo
1663,11,23,2023-11-23,19:00,activo
1664,11,25,2023-11-28,19:00,activo
1665,11,2,2023-11-16,19:00,activo
1666,11,4,2023-11-22,19:00,activo
1667,11,7,2023-11-24,19:00,activo
1668,11,12,2023-11-21,19:00,activo
1669,11,14,2023-11-17,19:00,activo
1670,11,16,2023-11-28,19:00,activo
1671,11,21,,,activo
1672,11,26,2023-11-27,19:00,activo
1673,11,27,2023-11-23,19:00,activo
1803,14,5,2024-02-28,,activo
1804,14,9,2024-02-19,,activo
1805,14,10,2024-02-21,,activo
1806,14,11,2024-02-29,,activo
1807,14,15,2024-02-22,,activo
1808,14,17,2024-03-01,,activo
1809,14,24,2024-02-27,,activo
1810,14,28,2024-02-20,,activo
1811,14,3,2024-02-19,,activo
1812,14,6,2024-02-27,,activo
1813,14,8,2024-03-01,,activo
1814,14,13,2024-02-28,,activo
1815,14,18,2024-02-21,,activo
1816,14,22,2024-02-22,,activo
1817,14,23,2024-02-29,,activo
1818,14,25,2024-02-20,,activo
1819,14,57,,,activo
1820,14,58,,,activo
1821,14,59,,,activo
1822,14,2,2024-02-22,,activo
1823,14,4,2024-02-28,,activo
1824,14,7,2024-02-21,,activo
1825,14,12,2024-02-27,,activo
1826,14,14,2024-03-01,,activo
1827,14,16,2024-02-20,,activo
1828,14,26,2024-02-19,,activo
1829,14,27,2024-02-29,,activo
1830,13,30,2024-02-27,,activo
1831,13,36,2024-02-29,,activo
1832,13,39,2024-02-21,,activo
1833,13,43,2024-02-20,,activo
1834,13,45,2024-02-26,,activo
1835,13,46,2024-03-01,,activo
1836,13,47,2024-02-22,,activo
1837,13,48,2024-02-19,,activo
1838,13,29,2024-03-01,,activo
1839,13,31,2024-02-28,,activo
1840,13,34,2024-02-26,,activo
1841,13,37,2024-02-22,,activo
1842,13,38,2024-02-19,,activo
1843,13,41,2024-02-29,,activo
1844,13,44,2024-02-27,,activo
1845,13,49,2024-02-21,,activo
1846,13,32,2024-02-29,,activo
1847,13,33,2024-02-21,,activo
1848,13,35,2024-02-28,,activo
1849,13,40,2024-02-26,,activo
1850,13,42,2024-02-22,,activo
1851,13,50,2024-03-01,,activo
1852,13,54,2024-02-27,,activo
1853,13,55,2024-02-20,,activo
1854,13,56,2024-02-27,,activo
